0,11.2,11.72,12.101,12.255,12.594,12.629,12.616,12.613,12.692,12.665,12.675,12.825,12.884,12.991,13.087,13.241,13.415,13.581,13.818,14.047,14.266,14.434,14.674,14.869,15.043,15.321,15.64,15.978,16.295,16.744,17.078,17.503,18.033,18.485,18.991,19.538,20.092,20.301,20.65,20.815,20.816,20.352,19.362,17.933,15.729,11.45,4.8857,-5.9449,-25.526,-67.864,-165.42,-76.887,-36.257,-17.308,-6.6645,-0.055263,4.4335,6.9945,8.8097,10.231,11.199,11.719,12.1,12.254,12.592,12.627,12.612,12.616,12.69,12.663,12.674,12.822,12.882,12.995,13.08,13.233,13.395,13.575,13.821,14.043,14.261,14.428,14.668,14.872,15.057,15.321,15.64,15.968,16.292,16.738,17.071,17.498,18.028,18.469,18.981,19.535,20.088,20.297,20.653,20.811,20.813,20.349,19.358,17.93,15.727,11.449,4.8843,-5.9423,-25.522,-67.857,-165.4,-76.874,-36.247,-17.3,-6.6569,-0.048173,4.4384,7.0006,8.8151,10.234,11.203
1.0056,5.0328,7.1968,8.9237,10.24,11.003,11.547,11.84,12.446,12.611,12.809,12.94,13.23,13.398,13.556,13.71,13.959,14.147,14.337,14.593,14.869,15.047,15.25,15.501,15.713,15.942,16.215,16.556,16.81,17.141,17.518,17.936,18.344,18.887,19.439,19.931,20.499,21.133,21.657,22.199,22.867,23.384,23.549,23.847,23.87,23.539,22.654,21.389,19.351,15.741,9.9065,0.70993,-15.352,-46.907,-132.28,-106.79,-48.333,-24.325,-11.286,-3.4908,1.747,5.0313,7.1955,8.9224,10.238,11,11.544,11.836,12.443,12.608,12.807,12.938,13.228,13.397,13.562,13.707,13.954,14.135,14.331,14.634,14.859,15.044,15.244,15.496,15.717,15.939,16.209,16.553,16.819,17.142,17.52,17.934,18.341,18.884,19.434,19.919,20.495,21.128,21.652,22.202,22.861,23.377,23.543,23.839,23.863,23.532,22.646,21.38,19.344,15.732,9.9013,0.71083,-15.356,-46.911,-132.28,-106.79,-48.327,-24.321,-11.281,-3.4857,1.75,5.0358
2.0112,-16.046,-6.7396,-0.66712,3.4815,6.085,8.0391,9.6367,10.775,11.581,12.235,12.872,13.31,13.623,13.907,14.288,14.609,14.935,15.18,15.569,15.82,16.008,16.269,16.553,16.829,17.024,17.352,17.588,17.888,18.172,18.568,18.962,19.401,19.954,20.451,20.962,21.499,22.121,22.759,23.355,24.149,24.673,25.3,25.833,26.49,26.553,26.966,27.055,26.907,26.035,24.695,22.863,19.851,14.648,6.6009,-6.6804,-31.347,-90.334,-146.33,-63.452,-32.105,-16.047,-6.7409,-0.66864,3.4791,6.0821,8.0359,9.6328,10.772,11.578,12.232,12.87,13.307,13.62,13.913,14.285,14.605,14.923,15.177,15.575,15.814,16,16.26,16.542,16.827,17.02,17.346,17.584,17.878,18.166,18.563,18.953,19.404,19.93,20.452,20.953,21.499,22.116,22.752,23.357,24.132,24.665,25.291,25.822,26.479,26.541,26.953,27.041,26.894,26.023,24.684,22.86,19.842,14.64,6.5922,-6.6898,-31.356,-90.342,-146.34,-63.45,-32.104,-16.043
3.0168,-164.35,-83.552,-40.683,-20.88,-9.6221,-2.5195,2.4513,5.5417,7.8673,9.7693,11.28,12.251,13.149,13.717,14.59,15.116,15.552,15.906,16.407,16.699,16.995,17.439,17.764,18.039,18.256,18.586,18.888,19.1,19.502,19.897,20.287,20.654,21.168,21.639,22.086,22.642,23.26,23.869,24.483,25.211,25.798,26.384,27.079,27.685,28.304,28.908,29.505,29.758,29.932,29.908,29.779,29.085,27.776,25.933,23.329,18.58,11.501,0.22251,-19.619,-61.2,-164.34,-83.553,-40.684,-20.881,-9.6247,-2.5228,2.4472,5.5382,7.864,9.766,11.278,12.247,13.147,13.725,14.586,15.112,15.538,15.906,16.415,16.695,16.991,17.434,17.757,18.073,18.249,18.581,18.876,19.087,19.484,19.891,20.281,20.647,21.183,21.637,22.088,22.668,23.263,23.856,24.489,25.203,25.789,26.373,27.065,27.652,28.29,28.892,29.487,29.741,29.916,29.892,29.773,29.071,27.765,25.922,23.318,18.57,11.491,0.21305,-19.629,-61.208,-164.34
4.0223,5.8815,-10.621,-41.989,-124.24,-113.11,-51.231,-26.163,-12.467,-4.0872,1.6427,5.5163,8.1833,10.388,12.199,13.501,14.505,15.256,16.32,16.916,17.453,17.905,18.547,18.972,19.305,19.618,20.064,20.318,20.612,21.014,21.488,21.822,22.165,22.642,23.072,23.472,23.997,24.632,25.184,25.682,26.334,26.923,27.479,28.162,28.9,29.425,30.047,30.742,31.184,31.664,32.254,32.692,32.593,32.664,32.371,31.76,30.437,28.664,26.158,22.099,15.709,5.891,-10.619,-41.986,-124.23,-113.11,-51.233,-26.166,-12.47,-4.0905,1.639,5.513,8.1795,10.385,12.207,13.497,14.501,15.244,16.316,16.924,17.448,17.898,18.542,18.966,19.311,19.619,20.057,20.309,20.599,21.022,21.475,21.809,22.155,22.636,23.069,23.455,23.995,24.63,25.211,25.695,26.333,26.919,27.471,28.155,28.886,29.409,30.029,30.722,31.165,31.646,32.237,32.685,32.577,32.65,32.359,31.748,30.427,28.652,26.149,22.09,15.702,5.8816
5.0279,28.496,24.841,18.843,9.889,-4.2943,-29.537,-86.867,-153.53,-65.832,-32.611,-15.7,-5.6385,1.0371,5.8103,8.8832,11.256,13.459,15.162,16.422,17.633,18.577,19.51,20.025,20.497,21.027,21.597,22.002,22.384,22.917,23.345,23.649,24.001,24.516,24.952,25.308,25.911,26.442,26.878,27.285,27.887,28.374,28.884,29.602,30.256,30.759,31.282,31.937,32.477,32.957,33.702,34.103,34.51,34.802,35.256,35.016,35.027,34.748,34.157,32.85,30.986,28.506,24.843,18.846,9.8935,-4.2873,-29.528,-86.854,-153.52,-65.832,-32.613,-15.703,-5.6422,1.0332,5.8158,8.8785,11.25,13.449,15.158,16.428,17.627,18.57,19.503,20.018,20.504,21.029,21.59,21.996,22.373,22.916,23.337,23.639,23.989,24.504,24.94,25.288,25.882,26.44,26.878,27.286,27.876,28.368,28.881,29.612,30.249,30.747,31.267,31.916,32.456,32.936,33.666,34.095,34.493,34.787,35.242,35.003,35.015,34.736,34.147,32.841,30.978,28.496
6.0335,36.562,35.206,33.152,30.399,26.622,20.622,11.944,-1.1874,-23.038,-65.815,-168.88,-88.059,-40.889,-19.153,-6.815,1.206,7.2774,11.25,14.195,16.864,19.12,20.508,21.786,22.547,23.841,24.56,25.144,25.639,26.369,26.785,27.122,27.683,28.227,28.593,28.91,29.468,29.935,30.228,30.67,31.238,31.605,32.064,32.602,33.087,33.371,33.94,34.41,34.853,35.313,35.9,36.355,36.675,37.08,37.437,37.7,37.892,38.204,38.197,37.783,37.257,36.572,35.208,33.155,30.404,26.629,20.63,11.957,-1.1766,-23.027,-65.8,-168.87,-88.058,-40.892,-19.158,-6.8201,1.1997,7.2684,11.244,14.196,16.857,19.111,20.5,21.778,22.559,23.844,24.552,25.136,25.623,26.361,26.778,27.115,27.676,28.22,28.658,28.891,29.464,29.922,30.205,30.671,31.255,31.599,32.046,32.649,33.072,33.362,33.904,34.396,34.819,35.307,35.936,36.346,36.655,37.063,37.422,37.687,37.879,38.19,38.186,37.772,37.248,36.562
7.0391,49.823,48.232,46.848,44.78,42.203,38.719,34.482,29.247,22.126,12.148,-1.8235,-23.212,-59.838,-142.14,-118.52,-41.071,-9.3519,8.3131,19.407,27.213,32.537,36.184,39.282,41.959,43.817,45.199,45.949,47.281,48.229,48.77,49.12,49.942,50.453,50.8,51.092,51.502,51.744,51.777,52.169,52.531,52.678,52.653,52.97,53.077,52.959,53.079,53.404,53.431,53.258,53.416,53.333,53.046,53.131,53.144,52.738,52.347,52.311,51.741,51.133,50.573,49.845,48.235,46.852,44.786,42.212,38.73,34.497,29.26,22.139,12.164,-1.8111,-23.194,-59.825,-142.22,-118.52,-41.071,-9.403,8.3042,19.419,27.2,32.521,36.17,39.269,41.992,43.829,45.188,45.938,47.252,48.218,48.759,49.108,49.932,50.446,50.793,51.071,51.509,51.743,51.751,52.168,52.502,52.649,52.626,52.944,53.057,52.954,53.046,53.372,53.38,53.242,53.404,53.334,53.055,53.097,53.125,52.719,52.329,52.29,51.727,51.12,50.56,49.831
8.0447,104.73,98.56,92.024,85.492,78.215,71.341,64.303,57.23,49.594,41.828,34.028,25.918,16.549,6.3137,-5.9791,-23.588,-60.747,-70.667,48.201,91.002,113.26,127.5,137.37,144.2,148.41,151.74,155.01,157.15,158.34,159.52,160.47,161.18,161.5,161.58,161.54,161.63,161.44,161.08,160.79,160.39,159.51,158.64,157.83,156.98,155.64,154.44,153.12,151.35,149.45,147.45,145.4,143.07,140.61,137.53,133.91,129.93,125.89,121.41,116.42,111.02,104.81,98.566,92.032,85.506,78.233,71.363,64.33,57.252,49.613,41.851,34.044,25.937,16.563,6.2593,-5.9674,-23.58,-60.814,-70.675,48.657,90.97,113.22,127.47,137.34,144.29,148.45,151.72,154.99,157.08,158.32,159.5,160.44,161.16,161.48,161.56,161.5,161.65,161.45,161.04,160.81,160.36,159.47,158.59,157.77,156.92,155.59,154.39,153.06,151.38,149.38,147.39,145.39,143.02,140.57,137.59,133.88,129.89,125.82,121.38,116.38,110.99,104.78
9.0503,98.673,93.791,89.055,84.329,79.71,75.047,70.474,65.694,60.656,55.721,50.968,45.983,40.822,35.926,30.695,24.753,17.671,9.0477,-2.6131,-23.084,-67.147,43.402,97.49,123.81,139.16,149.72,157.35,162.02,165.67,168.92,171.4,172.38,173.12,173.41,174.46,174.19,174.16,173.56,173.15,172.06,171.12,169.97,168.72,167.17,165.29,163.21,160.72,157.61,154.27,150.64,146.73,142.56,138.04,133.27,128.31,123.21,118.17,113.25,108.35,103.52,98.69,93.794,89.061,84.34,79.727,75.067,70.499,65.715,60.675,55.744,50.986,46.005,40.839,35.855,30.714,24.773,17.677,9.061,-2.5483,-23.073,-67.152,43.363,97.435,124.09,139.25,149.69,157.32,161.94,165.64,168.89,171.37,172.36,173.1,173.39,174.41,174.21,174.17,173.5,173.18,172.02,171.09,169.92,168.66,167.1,165.19,163.12,160.6,157.56,154.2,150.58,146.67,142.46,138.03,133.17,128.27,123.13,118.11,113.22,108.31,103.5,98.656
